forecast_date,target,target_end_date,location,type,quantile,value
2021-07-18,1 wk ahead inc death,2021-07-24,US,point,NA,2296.63272
2021-07-18,1 wk ahead inc case,2021-07-24,US,point,NA,167773.52000000002
2021-07-18,1 wk ahead cum death,2021-07-24,US,point,NA,610552.7499999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.010,1012.5169600000002
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.010,609294.1899999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.025,1138.4678
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.025,63301.004
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.025,609444.1999999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.050,1216.9925
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.050,609499.6199999999
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.100,1429.2071900000003
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.100,81746.56099999999
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.100,609700.3599999999
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.150,1630.95107
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.150,609907.9999999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.200,1807.89144
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.200,610086.3999999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.250,1912.49708
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.250,109436.23600000002
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.250,610218.1999999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.300,2003.0558899999999
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.300,610249.1599999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.350,2071.3489
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.350,610349.9999999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.400,2160.20412
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.400,610436.3599999999
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.450,2228.3103899999996
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.450,610490.8999999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.500,2296.63272
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.500,167773.52000000002
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.500,610552.7499999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.550,2362.29985
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.550,610637.0499999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.600,2416.26994
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.600,610660.8999999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.650,2483.2238500000003
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.650,610726.2999999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.700,2570.8634700000002
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.700,610838.8799999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.750,2736.18148
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.750,232224.62
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.750,610904.8999999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.800,2863.79699
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.800,611047.3599999999
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.850,2986.9411
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.850,611167.9999999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.900,3127.24365
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.900,309117.57700000005
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.900,611317.2399999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.950,3429.5462899999998
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.950,611599.6399999997
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.975,3845.5310199999994
2021-07-18,1 wk ahead inc case,2021-07-24,US,quantile,0.975,447127.392
2021-07-18,1 wk ahead cum death,2021-07-24,US,quantile,0.975,611964.8999999998
2021-07-18,1 wk ahead inc death,2021-07-24,US,quantile,0.990,4139.41669
